title,publication_date,source,country,summary,url,language
The Papers:  'People's Pope' and 'Battle for Church's future',"Tue, 22 Apr 2025 04:20:48 GMT",BBC (UK),United Kingdom,"The death of Pope Francis, aged 88, dominates the front pages of the major UK papers.",https://www.bbc.com/news/articles/c87pr4710e8o,en
Could a volcanic eruption destroy a dreamy Greek island?,"Sun, 20 Apr 2025 23:59:02 GMT",BBC (UK),United Kingdom,Scientists are investigating for the first time how dangerous the island's next big one could be.,https://www.bbc.com/news/articles/cm25lz56rezo,en
Britain's nursery problem: Parents still face 'childcare deserts',"Mon, 21 Apr 2025 00:53:57 GMT",BBC (UK),United Kingdom,"Nursery places can difficult to find, particularly in certain areas - so why have successive governments not yet found a solution?",https://www.bbc.com/news/articles/c8x8rznw9gyo,en
BBC News app,"Tue, 20 Aug 2024 11:35:33 GMT",BBC (UK),United Kingdom,"Top stories, breaking news, live reporting, and follow news topics that match your interests",https://www.bbc.co.uk/news/10628994,en
The Death of the Pope,"Mon, 21 Apr 2025 19:08:00 GMT",BBC (UK),United Kingdom,Vatican says Pope Francis died of stroke and subsequent irreversible heart failure.,https://www.bbc.co.uk/sounds/play/p0l5n285,en
Pope Francis Dies - Global News Podcast Special Episode,"Mon, 21 Apr 2025 11:56:00 GMT",BBC (UK),United Kingdom,His death at 88 follows a lengthy illness,https://www.bbc.co.uk/sounds/play/p0l5l5xb,en
No ball? No problem. How Forest are breaking the possession obsession,"Mon, 21 Apr 2025 23:00:28 GMT",BBC (UK),United Kingdom,Nottingham Forest could become the first side in Premier League history to finish in the top four with less than 40% average possession.,https://www.bbc.com/sport/football/articles/c20xd10z6gvo,en
O'Sullivan's return headlines day four at Crucible,"Tue, 22 Apr 2025 05:33:41 GMT",BBC (UK),United Kingdom,Ronnie O'Sullivan's return after three months away from competitive action is the headline attraction on the fourth day at the World Championship.,https://www.bbc.com/sport/snooker/articles/cx2y5ex9d7yo,en
Will Verstappen modify his driving after penalty?,"Tue, 22 Apr 2025 06:39:20 GMT",BBC (UK),United Kingdom,BBC Sport F1 correspondent Andrew Benson answers your latest questions after the Saudi Arabian Grand Prix.,https://www.bbc.com/sport/formula1/articles/cj689lk6jzpo,en
"I felt BBC wanted me to leave Match of the Day, says Lineker","Mon, 21 Apr 2025 23:04:10 GMT",BBC (UK),United Kingdom,"The presenter is stepping down from the football show, but will still host World Cup and FA Cup coverage.",https://www.bbc.com/news/articles/cp3116660g4o,en
Inside 934 days of Eubank-Benn bitterness and chaos,"Tue, 22 Apr 2025 05:13:49 GMT",BBC (UK),United Kingdom,"BBC Sport looks back on more than 900 days of Conor Benn and Chris Eubank Jr's chaotic rivalry, which will finally reach the ring on Saturday.",https://www.bbc.com/sport/boxing/articles/c15vl27381xo,en
'It must be amazing to get a standing ovation from the Man Utd fans',"Tue, 22 Apr 2025 05:19:29 GMT",BBC (UK),United Kingdom,"Gary Lineker, Alan Shearer and Micah Richards debate the best moments in Champions League history, with their minds drifting to when Brazil's Ronaldo wowed everyone with a hat-trick at Old Trafford in 2003.",https://www.bbc.com/sport/football/videos/cewg415nvr0o,en
Haberman reveals why Trump attacked judge and his family in speech,"Wed, 05 Apr 2023 13:30:09 GMT",CNN (USA),United States,CNN political contributor Maggie Haberman explains the reasoning behind Donald Trump's attacks on the judge and his family during a speech at his Mar-a-Lago resort after he was arraigned on felony charges.,https://www.cnn.com/videos/politics/2023/04/05/maggie-haberman-donald-trump-speech-indictment-reaction-sot-cnntm-vpx.cnn,en
Video shows moment of deadly explosion at cafe in Russia,"Tue, 04 Apr 2023 01:08:44 GMT",CNN (USA),United States,"A well-known Russian military blogger, Vladlen Tatarsky, was killed in an explosion at a cafe in St. Petersburg, authorities said. CNN's Matthew Chance reports.",https://www.cnn.com/videos/world/2023/04/02/russian-military-blogger-vladlen-tatarsky-killed-cafe-explosion-chance-vpx.cnn,en
Suspected Chinese spy balloon was able to transmit information back to Beijing,"Mon, 03 Apr 2023 13:38:22 GMT",CNN (USA),United States,"The suspected Chinese spy balloon that transited the US earlier this year was able to capture imagery and collect some signals intelligence from US military sites, a source familiar with the matter tells CNN.",https://www.cnn.com/2023/04/03/politics/chinese-spy-balloon/index.html,en
Beijing promised to 'fight back' over Taiwan leader's US visit. But this time it has more to lose,"Tue, 04 Apr 2023 07:49:53 GMT",CNN (USA),United States,An anticipated meeting between Taiwan's President Tsai Ing-wen and US House Speaker Kevin McCarthy in California this week has sparked concerns of a repeat of the pressure campaign China launched last year when then-Speaker Nancy Pelosi visited Taipei.,https://www.cnn.com/2023/04/04/asia/tsai-ing-wen-taiwan-mccarthy-meeting-analysis-intl-hnk/index.html,en
"'Scary, cold, hungry and lonely': Volunteer soldier shares experience on front line","Mon, 03 Apr 2023 12:13:24 GMT",CNN (USA),United States,"A young volunteer soldier, Akula, who signed up for the war at the beginning of the Russian invasion is now dealing with the trauma of war. He spoke to CNN's David McKenzie about his time on the front lines and how it has affected his mental health.",https://www.cnn.com/videos/world/2023/04/03/soldiers-russia-ukraine-war-david-mckenzie-pkg-ovn-intl-ldn-vpx.cnn,en
The four astronauts NASA picked for the first crewed moon mission in 50 years,"Tue, 04 Apr 2023 11:44:30 GMT",CNN (USA),United States,"Astronauts who will helm the first crewed moon mission in five decades were revealed on Monday, queuing up the quartet to begin training for the historic Artemis II lunar flyby that is set to take off in November 2024.",https://www.cnn.com/2023/04/03/world/artemis-2-astronaut-crew-scn/index.html,en
French minister under fire for Playboy magazine cover,"Mon, 03 Apr 2023 11:54:59 GMT",CNN (USA),United States,French government minister Marlene Schiappa has come under fire from members of her own party after appearing on the front cover of Playboy magazine.,https://www.cnn.com/2023/04/02/europe/french-minister-playboy-cover-intl/index.html,en
Why did Finland's PM lose? Reporter explains the key issue voters cared about,"Mon, 03 Apr 2023 10:06:11 GMT",CNN (USA),United States,Finland's left-wing Prime Minister Sanna Marin conceded defeat in the country's parliamentary election as the opposition right-wing National Coalition Party claimed victory in a tightly fought contest. CNN's Laila Harrak spoke with New York Times' Chief Diplomatic Correspondent Steven Erlanger to discuss how the popular politician lost the election.,https://www.cnn.com/videos/world/2023/04/03/finland-prime-minister-sanna-marin-concedes-election-right-wing-party-wins-ovn-intl-ldn-vpx.cnn,en
Britain's pound is beating every other major currency this year,"Tue, 04 Apr 2023 18:49:31 GMT",CNN (USA),United States,"The British pound crashed to a record low last fall as investors rebelled against budget plans by former Prime Minister Liz Truss. Now, it's enjoying a comeback.",https://www.cnn.com/2023/04/04/investing/british-pound-currency-dollar/index.html,en
Finland's Prime Minister Sanna Marin concedes election,"Mon, 03 Apr 2023 10:24:55 GMT",CNN (USA),United States,Finland's left-wing Prime Minister Sanna Marin conceded defeat on Sunday in the Nordic country's parliamentary election as the opposition right-wing National Coalition Party (NCP) claimed victory in a tightly fought contest.,https://www.cnn.com/2023/04/02/europe/sanna-marin-finland-elections-concedes-intl/index.html,en
The $500 billion beauty industry's 'green' ambitions are a patchwork at best. And they're falling short,"Thu, 06 Apr 2023 20:09:14 GMT",CNN (USA),United States,"The escalating climate crisis is shifting many people's purchasing patterns and this extends to the $500 billion dollar global beauty industry which is grappling with a range of sustainability challenges across product manufacturing, packaging and disposal.",https://www.cnn.com/style/article/beauty-skincare-climate/index.html,en
A new approach to a Covid-19 nasal vaccine shows early promise,"Mon, 03 Apr 2023 19:04:07 GMT",CNN (USA),United States,"Scientists in Germany say they've been able to make a nasal vaccine that can shut down a Covid-19 infection in the nose and throat, where the virus gets its first foothold in the body.",https://www.cnn.com/2023/04/03/health/nasal-vaccine-sterilizing-immunity/index.html,en
Video shows moment man throws yogurt on two women in Iran,"Mon, 03 Apr 2023 10:17:00 GMT",CNN (USA),United States,"Video shows an incident at a store in the Iranian city of Shandiz where a man approached two unveiled women before proceeding to grab a tub of yogurt from the store and throw it, hitting both women in the head. The video then appears to show a male staff member removing the suspect from the store. CNN is not able to verify what was said immediately before the confrontation.",https://www.cnn.com/videos/world/2023/04/03/man-throws-yogurt-on-women-iran-president-raisi-hijab-is-law-nada-bashir-ovn-intl-ldn-vpx.cnn,en
"Israeli military veterans, a backbone of protest movement, vow to keep demonstrating","Mon, 03 Apr 2023 17:22:51 GMT",CNN (USA),United States,"In a sea of Israeli flags, Yiftach Golov holds one that looks a little different.",https://www.cnn.com/2023/04/03/middleeast/israel-protests-military-veterans-intl-cmd/index.html,en
Erdogan's political fate may be determined by Turkey's Kurds,"Mon, 03 Apr 2023 14:54:00 GMT",CNN (USA),United States,"Turkey's persecuted pro-Kurdish party has emerged as a kingmaker in the country's upcoming election, playing a decisive role that may just tip the balance enough to unseat two-decade ruler Recep Tayyip Erdogan.",https://www.cnn.com/2023/04/03/middleeast/kurdish-kingmaker-turkish-elections-mime-intl/index.html,en
Dogecoin jumps after Elon Musk replaces Twitter bird with Shiba Inu,"Mon, 03 Apr 2023 20:48:03 GMT",CNN (USA),United States,"Twitter's traditional bird icon was booted and replaced with an image of a Shiba Inu, an apparent nod to dogecoin, the joke cryptocurrency that CEO Elon Musk is being sued over.",https://www.cnn.com/2023/04/03/investing/dogecoin-elon-musk-twitter/index.html,en
Micron Technology: China probes US chip maker for cybersecurity risks as tech tension escalates,"Tue, 04 Apr 2023 03:17:15 GMT",CNN (USA),United States,"China has launched a cybersecurity probe into Micron Technology, one of America's largest memory chip makers, in apparent retaliation after US allies in Asia and Europe announced new restrictions on the sale of key technology to Beijing.",https://www.cnn.com/2023/04/03/tech/china-micron-probe-us-chip-war-intl-hnk/index.html,en
Man rides out tornado inside van. See the footage,"Sun, 02 Apr 2023 11:07:02 GMT",CNN (USA),United States,"Cody Coombes recounts riding out a tornado in Little Rock, Arkansas, inside his pest control van. The National Weather Service reported that an EF-3 tornado had roared through Pulaski and Lonoke counties with estimated peak winds of 165 mph, killing one person in North Little Rock and four people in Wynne.",https://www.cnn.com/videos/weather/2023/04/02/little-rock-arkansas-tornado-man-inside-van-cnntmw-vpx.cnn,en
"China Renaissance suspends trading, delays results after founder's disappearance","Mon, 03 Apr 2023 11:42:19 GMT",CNN (USA),United States,"China Renaissance, a top dealmaker in the country's tech industry, said it would suspend trading of its shares and delay the release of its annual results because it still can't get in touch with its founder.",https://www.cnn.com/2023/04/03/investing/china-renaissance-delays-results-missing-ceo-intl-hnk/index.html,en
HSBC's top execs face tense shareholders calling for a breakup,"Mon, 03 Apr 2023 12:31:48 GMT",CNN (USA),United States,"HSBC's top brass defended their strategy Monday to frustrated shareholders in the lender's largest market, as Europe's biggest bank continued to face calls to be split up.",https://www.cnn.com/2023/04/03/business/hsbc-spin-off-hk-shareholder-meeting-intl-hnk/index.html,en
Lawmaker speaks out about his struggle with depression,"Sun, 02 Apr 2023 23:11:47 GMT",CNN (USA),United States,Sen. John Fetterman (D-PA) spoke to CBS about battling with depression after winning a tight election.,https://www.cnn.com/videos/politics/2023/04/02/john-fetterman-depression-downward-spiral-acostanr-sot-vpx.cnn,en
CEOs are tired of being held responsible for gun regulation,"Mon, 03 Apr 2023 11:19:35 GMT",CNN (USA),United States,"Americans have grown used to corporate executives treading the well-worn paths of the Northeast corridor to convene alongside elected officials in Washington, DC, and discuss geopolitics, policy and all that's in-between.",https://www.cnn.com/2023/04/03/investing/premarket-stocks-trading/index.html,en
What pet cemeteries reveal about being human,"Mon, 03 Apr 2023 15:03:47 GMT",CNN (USA),United States,Why do we bury our departed loved ones in a cemetery? A primary purpose is to provide survivors with an opportunity to grieve and gain a sense of closure. The cemetery is a place for the living as much as it is a place for the dead.,https://www.cnn.com/2023/04/03/opinions/pet-cemeteries-burying-animals-history-tourigny/index.html,en
Scientists film deepest ever fish on seabed off Japan,"Tue, 18 Apr 2023 15:32:03 GMT",CNN (USA),United States,"Cruising at a depth of 8,336 meters (over 27,000 feet) just above the seabed, a young snailfish has become the deepest fish ever filmed by scientists during a probe into the abyss of the northern Pacific Ocean.",https://www.cnn.com/2023/04/03/asia/deepest-fish-filmed-off-japan-scn-intl-hnk/index.html,en
What OPEC's surprise oil cut means for gas prices,"Tue, 04 Apr 2023 01:48:26 GMT",CNN (USA),United States,OPEC and its allies' surprise move to slash oil production will soon be felt at US gas pumps.,https://www.cnn.com/2023/04/03/energy/gas-prices-opec/index.html,en
Palestinian taxi driver recounts surviving attack by right-wing protesters,"Fri, 31 Mar 2023 15:50:32 GMT",CNN (USA),United States,A Palestinian taxi driver describes surviving a violent attack by a right-wing mob in Jerusalem earlier this week as Israel continues to see protests against Prime Minister Benjamin Netanyahu's judicial overhaul spread. CNN's Nic Robertson reports.,https://www.cnn.com/videos/world/2023/03/31/israel-protests-rise-taxi-driver-attacked-robertson-pkg-intl-vpx.cnn,en
Giving Marjorie Taylor Greene a platform isn't good for America,"Mon, 03 Apr 2023 12:26:59 GMT",CNN (USA),United States,"Last year, GOP Rep. Marjorie Taylor Greene of Georgia spoke at a white nationalist event organized by Holocaust denier Nick Fuentes that caused Republican leaders to denounce her.",https://www.cnn.com/2023/04/03/opinions/60-minutes-marjorie-taylor-greene-interview-obeidallah/index.html,en
These are the animals people most want to see photographed,"Tue, 04 Apr 2023 10:38:46 GMT",CNN (USA),United States,"Originally a term used by trophy hunters in Africa, the ""Big Five"" described the animals most challenging to shoot and kill: the lion, elephant, leopard, rhino, and buffalo. Nowadays, it is more loosely used to refer to some of Africa's largest and most iconic animals.",https://www.cnn.com/travel/article/new-big-5-wildlife-photography-book-c2e-scn-spc-intl/index.html,en
"Syrian refugee elected mayor of German town, years after fleeing war","Tue, 04 Apr 2023 19:41:56 GMT",CNN (USA),United States,A Syrian who arrived in Germany as a refugee in 2015 has won a mayoral election in the southwestern German state of Baden-Württemberg.,https://www.cnn.com/2023/04/04/europe/germany-mayor-syrian-refugee-intl/index.html,en
"Study finds slightly higher risk of autism diagnosis in areas with more lithium in drinking water, but experts say more research is needed","Mon, 03 Apr 2023 18:22:12 GMT",CNN (USA),United States,"A new study found a moderately higher risk of autism spectrum disorder in children born to pregnant people exposed to tap water with higher levels of lithium, but experts caution that this association does not show a direct link between the two.",https://www.cnn.com/2023/04/03/health/autism-lithium-study/index.html,en
"Kwame Brathwaite, photographer of 'Black is Beautiful' movement, dies at 85","Tue, 04 Apr 2023 18:54:41 GMT",CNN (USA),United States,"Kwame Brathwaite, the pioneering activist and photographer whose work helped define the aesthetics of the ""Black is Beautiful"" movement of the 1960s and beyond, died on April 1, aged 85.",https://www.cnn.com/style/article/kwame-brathwaite-obituary-tan/index.html,en
This boiled bag of offal is banned in the US. In Scotland it's a fine-dining treat,"Mon, 03 Apr 2023 12:43:16 GMT",CNN (USA),United States,"Anthony Bourdain loved haggis. But even the late, great American chef, writer and television host recognized that Scotland's national dish, with its ""sinister sheep parts"" wrapped in a shroud of mystery and half-invented history, could be a hard sell.",https://www.cnn.com/travel/article/haggis-scotland-secrets/index.html,en
Musk's Twitter promised a purge of blue check marks. Instead he singled out the New York Times,"Mon, 03 Apr 2023 20:06:03 GMT",CNN (USA),United States,"Some VIP Twitter users woke up on Saturday expecting to have lost their coveted blue verification check marks in a previously announced purge by Elon Musk. Instead, Twitter appeared to target a single account from a major publication Musk dislikes and changed the language on its site in a way that obscures why users are verified.",https://www.cnn.com/2023/04/03/tech/twitter-blue-checks/index.html,en
See the world's deepest fish,"Wed, 12 Apr 2023 09:01:12 GMT",CNN (USA),United States,"Scientists captured the unknown snailfish species at a depth of more than 27,000 feet, as part of an expedition in trenches off Japan.",https://www.cnn.com/videos/travel/2023/04/03/snailfish-deepest-fish-on-camera-lon-orig-ao-cprog-scn.cnn,en
Emma Heming Willis shares family photos as daughter Mabel turns 11,"Mon, 03 Apr 2023 09:34:27 GMT",CNN (USA),United States,"Bruce Willis' wife, Emma Heming Willis, has celebrated their elder daughter's birthday with a trip down memory lane.",https://www.cnn.com/2023/04/03/entertainment/emma-willis-mabel-birthday-photos-intl-scli/index.html,en
Some fans whistle as Lionel Messi's name is announced as Paris Saint-Germain's season hits new low,"Mon, 03 Apr 2023 11:02:06 GMT",CNN (USA),United States,Paris Saint-Germain's miserable season went from bad to worse on Sunday as the team suffered a second straight home defeat with a 1-0 loss to Lyon.,https://www.cnn.com/2023/04/03/football/lionel-messi-psg-whistles-fans-spt-intl/index.html,en
Chelsea searches for new manager as Premier League breaks record for most sackings in a single season,"Mon, 03 Apr 2023 14:46:53 GMT",CNN (USA),United States,"It was just six months ago that Graham Potter was deemed the man to usher in a fresh, exciting era at Chelsea.",https://www.cnn.com/2023/04/03/football/chelsea-graham-potter-manager-premier-league-spt-intl/index.html,en
See 'Star Wars' legend react to Acosta's Darth Vader impression,"Sun, 02 Apr 2023 01:18:16 GMT",CNN (USA),United States,"Actor Mark Hamill joins CNN's Jim Acosta to discuss his thoughts about a potential spinoff series based around his legendary ""Star Wars"" character Luke Skywalker.",https://www.cnn.com/videos/media/2023/04/02/mark-hamill-star-wars-jim-acosta-skywalker-cprog-acostanr-vpx.cnn,en
Angel Reese defends gesture directed towards Caitlin Clark after LSU national title win; calls out double standard after being 'unapologetically' her,"Mon, 03 Apr 2023 18:34:35 GMT",CNN (USA),United States,"LSU star Angel Reese defended the gesture she aimed at Iowa Hawkeyes' Caitlin Clark near the end of the Tigers' first NCAA women's basketball national championship victory on Sunday, saying ""I don't take disrespect lightly.""",https://www.cnn.com/2023/04/03/sport/angel-reese-gesture-caitlin-clark-lsu-iowa-spt-intl/index.html,en
Teenage swimmer breaks two world records in four days,"Mon, 03 Apr 2023 12:17:19 GMT",CNN (USA),United States,Sixteen-year-old Summer McIntosh broke the world record for the 400m individual medley at the Canadian swimming trials on Saturday -- just days after breaking the world record for the 400m freestyle.,https://www.cnn.com/2023/04/03/sport/summer-mcintosh-world-record-canada-swimmer-spt-intl/index.html,en
The haunting Masters meltdown that changed Rory McIlroy's career,"Tue, 09 Apr 2024 15:25:18 GMT",CNN (USA),United States,"Slumped on his club, head buried in his arm, Rory McIlroy looked on the verge of tears.",https://www.cnn.com/2023/04/03/golf/rory-mcilroy-masters-meltdown-2011-spt-spc-intl/index.html,en
A snowboarder got buried upside down in snow. See skier's quick reaction.,"Fri, 31 Mar 2023 12:33:33 GMT",CNN (USA),United States,"Skier Francis Zuber sprang into action when he noticed a snowboarder had become trapped upside down in a tree well. Zuber, whose reaction has been applauded as a textbook example of what to do in such a situation, urged others to take up rescue courses.",https://www.cnn.com/videos/us/2023/03/31/snowboarder-rescue-mt-baker-washington-cprog-lon-orig-na.cnn,en
2023 March Madness: Will UConn or San Diego State triumph in the national championship game that 'means everything?',"Tue, 04 Apr 2023 10:13:13 GMT",CNN (USA),United States,After a March Madness filled with twists and surprises -- all four No. 1 seeds failed to reach the Elite Eight for the first ever time in NCAA men's basketball tournament history -- it is time for the grand finale as UConn faces San Diego State on Monday for the title.,https://www.cnn.com/2023/04/03/sport/march-madness-championship-game-final-preview-spt-intl/index.html,en
Shania Twain calls for equal pay and more diversity in country music,"Mon, 03 Apr 2023 16:29:08 GMT",CNN (USA),United States,Shania Twian is standing up for others in country music.,https://www.cnn.com/2023/04/03/entertainment/shania-twain-equal-diversity/index.html,en
Super Netball league forgets to celebrate one of its legends,"Tue, 22 Apr 2025 07:01:46 +0000",ABC (Australia),Australia,"The Super Netball trophy is modelled off Romelda Aiken-George's on-court battles across her 18-year career in Australia, but the league dropped the ball when it came to celebrating her record-breaking appearance.",https://www.abc.net.au/news/2025-04-22/super-netball-round-up-2025-round-three-part-one/105201678,en
Tigers in Galvin backflip with wantaway star recalled after one-week exile,"Tue, 22 Apr 2025 06:42:22 +0000",ABC (Australia),Australia,The Wests Tigers recall Lachlan Galvin a week after dumping the five-eighth to reserve grade.,https://www.abc.net.au/news/2025-04-22/tigers-recall-galvin-after-one-week-stint-with-reserves/105202258,en
A not-quite-suspended campaign sees leaders head to church,"Tue, 22 Apr 2025 06:31:20 +0000",ABC (Australia),Australia,"Peter Dutton and Anthony Albanese both paid tribute to the late Pope Francis today, semi-suspending their campaigns before the third leaders' debate tonight.",https://www.abc.net.au/news/2025-04-22/anthony-albanese-peter-dutton-pope-francis-orange-andrew-gee/105199184,en
Man charged with murder over woman's death in WA's remote far north,"Tue, 22 Apr 2025 06:09:45 +0000",ABC (Australia),Australia,A 38-year-old man appears in Derby Magistrate's Court charged with murder after the death of a woman in the state's Kimberley region.,https://www.abc.net.au/news/2025-04-22/derby-man-charged-with-murder-over-womans-death-mowanjum-wa/105201182,en
Sinners is an ambitious genre-bending movie with ideas to burn,"Tue, 22 Apr 2025 06:02:53 +0000",ABC (Australia),Australia,"Sinners is the first entirely original film written and directed by Ryan Coogler, and it thrums with the unruly spirit of someone finally bursting free of the franchise blockbuster death spiral.",https://www.abc.net.au/news/2025-04-22/sinners-review-vampires-michael-b-jordan/105183660,en
Catholic leaders in Canberra remember Pope Francis as 'compassionate' leader,"Tue, 22 Apr 2025 05:49:28 +0000",ABC (Australia),Australia,"The late Pope Francis is remembered as ""charitable"" leader by members of the Catholic Church in Canberra.",https://www.abc.net.au/news/2025-04-22/canberra-remembers-the-great-leader-pope-francis/105202490,en
Markets brace for more pain as Trump takes on Powell,"Tue, 22 Apr 2025 05:33:52 +0000",ABC (Australia),Australia,"US President Donald Trump has again rattled global investment markets, this time with his threats to interfere with the independence of America's central bank.",https://www.abc.net.au/news/2025-04-22/markets-brace-for-trump-powell-us-fed-showdown/105202358,en
"'Good on him' if Cassius Turvey stabbed accused killer, prosecutor tells trial","Tue, 22 Apr 2025 05:13:33 +0000",ABC (Australia),Australia,"A man accused of murdering Cassius Turvey is a ""liar"" who had no justification in striking the Perth teenager with a trolley pole, a prosecutor tells the WA Supreme Court.",https://www.abc.net.au/news/2025-04-22/cassius-turvey-murder-trial-prosecutor-says-jack-brearley-a-liar/105202142,en
"Former Test cricketer Michael Slater sentenced over strangulation, assault","Tue, 22 Apr 2025 05:05:37 +0000",ABC (Australia),Australia,"Judge Glen Cash said alcoholism had brought an end to the cricketer and television host's career, while handing down a prison sentence.",https://www.abc.net.au/news/2025-04-22/test-cricketer-michael-slater-senteced-domestic-violence/105200798,en
Hundreds gather to mourn man killed in Footscray police shooting,"Tue, 22 Apr 2025 05:04:00 +0000",ABC (Australia),Australia,About 200 people gathered in Melbourne's west to call for greater mental health supports after the police shooting death of Abdifatah Ahmed.,https://www.abc.net.au/news/2025-04-22/victoria-footscray-police-shooting-vigil/105196696,en
This 96-year-old Tokyo chef has spent his entire life perfecting just one dish,"Tue, 22 Apr 2025 04:59:13 +0000",ABC (Australia),Australia,"In Japan, it's called ""shokunin"", and it might be the reason why Tokyo is now the world's culinary capital.",https://www.abc.net.au/news/2025-04-22/the-secret-to-tokyo-culinary-success/105188534,en
"As the most credible foil to Trump, Pope Francis leaves a geopolitical hole","Tue, 22 Apr 2025 04:51:20 +0000",ABC (Australia),Australia,"In the hours after his death, it has become commonplace to posit Francis as a “progressive” Pope disavowing the conservatism of his predecessors but in reality he was in line with Catholic social teaching.",https://www.abc.net.au/news/2025-04-22/pope-francis-geopolitical-player-weath-climate-nationalism/105201666,en
"If you need money fast, what are your options?","Tue, 22 Apr 2025 03:55:19 +0000",ABC (Australia),Australia,"If you’ve got an unexpected bill to pay or large expense and you don’t have the money to cover it, here’s what you can do.",https://www.abc.net.au/news/2025-04-22/options-if-you-need-money-quickly-for-bills-expenses/105177764,en
Hannah Green hopes lofty ranking can translate to major success,"Tue, 22 Apr 2025 03:52:31 +0000",ABC (Australia),Australia,"In-form world number five Hannah Green will lead a seven-strong Australian challenge at women's golf's first major of the year, the Chevron Championship in Texas.",https://www.abc.net.au/news/2025-04-22/hannah-green-hopes-lpga-ranking-can-translate-to-major-success/105201546,en
